Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X,Centroid Y,Distance in um to nearest Cell,Area,Perimeter
CBPM03Lc_Sec04_CaMKIIa_merged.tif,d44755b2-2674-4569-82a2-56c498ddd4ea,Annotation,Cell75,Cell,Root object (Image),Polygon,299.65,364.65,7.0037,66.88,30.28
CBPM03Lc_Sec04_CaMKIIa_merged.tif,efa71e41-aaef-4839-a00e-113837b737d7,Annotation,Cell6,Cell,Root object (Image),Polygon,445.39,364.4,12.3284,28.42,19.81
CBPM03Lc_Sec04_CaMKIIa_merged.tif,7299304f-1f91-494b-aca2-d31c5dac7c16,Annotation,Cell43,Cell,Root object (Image),Polygon,393.17,366.87,2.2698,50.28,25.91
CBPM03Lc_Sec04_CaMKIIa_merged.tif,032afa56-9131-4a96-b5be-2b4e61851665,Annotation,Cell15,Cell,Root object (Image),Polygon,348.72,374.43,6.7951,26.24,18.85
CBPM03Lc_Sec04_CaMKIIa_merged.tif,eebb6552-024b-46c8-8352-5394e96b6c9e,Annotation,Cell77,Cell,Root object (Image),Polygon,323.23,374.29,11.7987,17.82,15.52
CBPM03Lc_Sec04_CaMKIIa_merged.tif,9bb8a676-f42b-4d57-ab3f-82b55aff9c40,Annotation,Cell59,Cell,Root object (Image),Polygon,397.1,374.47,2.9048,12.69,13.23
CBPM03Lc_Sec04_CaMKIIa_merged.tif,b8de80f2-c936-4c45-8c76-9fb8914f36fb,Annotation,Cell4,Cell,Root object (Image),Polygon,431.81,376.92,12.2983,19.77,16.1
CBPM03Lc_Sec04_CaMKIIa_merged.tif,597d94f3-330b-4169-8448-2887ac904b43,Annotation,Cell21,Cell,Root object (Image),Polygon,379.83,380.74,7.9142,82.36,33.18
CBPM03Lc_Sec04_CaMKIIa_merged.tif,91fcf8fd-ab31-404a-8dd2-eedca047ed36,Annotation,Cell35,Cell,Root object (Image),Polygon,338.61,385.17,3.981,70.06,30.92
CBPM03Lc_Sec04_CaMKIIa_merged.tif,41c36e50-073d-428a-a2af-4eaedd11f7a9,Annotation,Cell27,Cell,Root object (Image),Polygon,286.93,385.26,16.4122,43.7,24.8
CBPM03Lc_Sec04_CaMKIIa_merged.tif,f77933b9-5a4b-4e05-b5cd-a65441c21784,Annotation,Cell3,Cell,Root object (Image),Polygon,395.21,385.4,6.3649,29.9,20.08
CBPM03Lc_Sec04_CaMKIIa_merged.tif,02a3a6d6-bfce-473e-bbdf-7504fb6da390,Annotation,Cell38,Cell,Root object (Image),Polygon,350.56,390.76,3.8631,40.62,23.93
CBPM03Lc_Sec04_CaMKIIa_merged.tif,8866761f-4ff7-42b6-ae26-38ca02a58ddb,Annotation,Cell46,Cell,Root object (Image),Polygon,321.13,396.55,13.0731,21.69,16.92
CBPM03Lc_Sec04_CaMKIIa_merged.tif,70b56501-e0e3-474b-8a2b-efd5045ade82,Annotation,Cell82,Cell,Root object (Image),Polygon,435.68,396.95,2.7685,18.2,15.83
CBPM03Lc_Sec04_CaMKIIa_merged.tif,4481908c-3046-4103-b6aa-a5024e082a67,Annotation,Cell5,Cell,Root object (Image),Polygon,377.05,400.53,2.1445,32.72,21.33
CBPM03Lc_Sec04_CaMKIIa_merged.tif,3b35c827-d492-4393-826f-97fde9e89ca5,Annotation,Cell73,Cell,Root object (Image),Polygon,349.83,403.45,3.2461,56.64,29.57
CBPM03Lc_Sec04_CaMKIIa_merged.tif,9e259518-17b5-437c-bb27-52ced15b9440,Annotation,Cell11,Cell,Root object (Image),Polygon,373.43,408.06,2.1676,51.2,28.03
CBPM03Lc_Sec04_CaMKIIa_merged.tif,4b470612-bfa7-4b32-90b8-06ce6afdbc72,Annotation,Cell28,Cell,Root object (Image),Polygon,354.69,411.78,1.5338,30.56,23.67
CBPM03Lc_Sec04_CaMKIIa_merged.tif,d5cf7230-7fc1-4a13-8ca1-d99233b5a37f,Annotation,Cell25,Cell,Root object (Image),Polygon,410.73,411.33,6.3845,14.82,14.09
CBPM03Lc_Sec04_CaMKIIa_merged.tif,9bec9b27-bc1e-40f8-b900-ae397ed6d7f6,Annotation,Cell60,Cell,Root object (Image),Polygon,397.41,414.81,1.6563,60.22,30.33
CBPM03Lc_Sec04_CaMKIIa_merged.tif,71fec754-c272-45d8-ba25-74a2bb1fc35e,Annotation,Cell55,Cell,Root object (Image),Polygon,450.65,416.4,10.8958,55.6,29.74
CBPM03Lc_Sec04_CaMKIIa_merged.tif,3140a270-3be7-477a-85e0-9ec5bdd0f06d,Annotation,Cell88,Cell,Root object (Image),Polygon,342.04,419.1,0.9903,41.24,23.57
CBPM03Lc_Sec04_CaMKIIa_merged.tif,836ef03a-5082-4a95-a85e-9f11545a26e1,Annotation,Cell52,Cell,Root object (Image),Polygon,349.87,418.15,1.059,31.83,20.94
CBPM03Lc_Sec04_CaMKIIa_merged.tif,16cef108-4a59-4f5b-a7c9-64dcd0810d9b,Annotation,Cell31,Cell,Root object (Image),Polygon,367.8,418.92,4.887,58.92,29.21
CBPM03Lc_Sec04_CaMKIIa_merged.tif,fd6990de-9936-4d06-a617-ca309e8ac443,Annotation,Cell64,Cell,Root object (Image),Polygon,282.72,425.5,4.0474,72.33,31.66
CBPM03Lc_Sec04_CaMKIIa_merged.tif,811e030a-700a-4c99-a1b3-d51dc0f1629b,Annotation,Cell81,Cell,Root object (Image),Polygon,429.66,428.99,5.9926,36.92,24.28
CBPM03Lc_Sec04_CaMKIIa_merged.tif,7b977884-7b3e-4586-a5e5-9c13d58276a1,Annotation,Cell67,Cell,Root object (Image),Polygon,313.82,429.48,3.5839,28.79,19.7
CBPM03Lc_Sec04_CaMKIIa_merged.tif,c2375c4c-a5da-4c70-8563-0489908e58bb,Annotation,Cell86,Cell,Root object (Image),Polygon,325.51,430.61,3.5984,60.36,28.78
CBPM03Lc_Sec04_CaMKIIa_merged.tif,59063680-5edc-4758-8914-1c664672b259,Annotation,Cell71,Cell,Root object (Image),Polygon,270.32,432.82,4.211,37.71,24.26
CBPM03Lc_Sec04_CaMKIIa_merged.tif,023ddeb8-7817-4e44-bf0f-7d586d5d4523,Annotation,Cell39,Cell,Root object (Image),Polygon,408.72,433.58,11.527,53.68,27.93
CBPM03Lc_Sec04_CaMKIIa_merged.tif,9fc9aa82-d9c9-4a51-84fd-ae0d98daa2cc,Annotation,Cell47,Cell,Root object (Image),Polygon,290.21,435.63,1.3678,35.43,21.98
CBPM03Lc_Sec04_CaMKIIa_merged.tif,167075bb-2fdf-470d-a9bd-1ef833974e04,Annotation,Cell36,Cell,Root object (Image),Polygon,353.51,439.16,15.3916,28.97,19.53
CBPM03Lc_Sec04_CaMKIIa_merged.tif,2129d842-9357-4494-92be-b144488517b5,Annotation,Cell69,Cell,Root object (Image),Polygon,453.59,440.89,17.1178,24.98,19.69
CBPM03Lc_Sec04_CaMKIIa_merged.tif,a9f10d23-6ca8-4d69-ab85-b018defa006d,Annotation,Cell40,Cell,Root object (Image),Polygon,283.79,441.67,1.416,68.33,30.8
CBPM03Lc_Sec04_CaMKIIa_merged.tif,d0138193-3158-46fe-8bc6-0d823c6461d9,Annotation,Cell16,Cell,Root object (Image),Polygon,323.77,441.12,0.9336,41.94,24.81
CBPM03Lc_Sec04_CaMKIIa_merged.tif,5d1d2efe-1522-420b-9482-127cc0c64b1d,Annotation,Cell20,Cell,Root object (Image),Polygon,428.05,441.47,5.926,23.5,18.89
CBPM03Lc_Sec04_CaMKIIa_merged.tif,8316fb4e-11f5-4897-ba99-7f4d6bdfd722,Annotation,Cell17,Cell,Root object (Image),Polygon,385.86,445.33,0.7721,19.61,16.83
CBPM03Lc_Sec04_CaMKIIa_merged.tif,c6598368-5087-48fa-a02b-ff71b1ddb73e,Annotation,Cell53,Cell,Root object (Image),Polygon,319.86,447.2,0.9499,48.68,27.59
CBPM03Lc_Sec04_CaMKIIa_merged.tif,71cd6c74-344c-4fa2-84e3-33f2da83a25f,Annotation,Cell7,Cell,Root object (Image),Polygon,300.73,450.02,10.8357,22.49,17.45
CBPM03Lc_Sec04_CaMKIIa_merged.tif,d2cb8449-5725-4498-b063-0cb8a160d07e,Annotation,Cell37,Cell,Root object (Image),Polygon,330.34,451.08,3.319,38.7,24.69
CBPM03Lc_Sec04_CaMKIIa_merged.tif,ce9a8b8d-6401-4c15-8fb9-280a4cf385e9,Annotation,Cell89,Cell,Root object (Image),Polygon,392.6,450.25,0.9662,35.04,24.32
CBPM03Lc_Sec04_CaMKIIa_merged.tif,4b373cf7-edd7-4c3f-85fe-5b6e7b3c7698,Annotation,Cell49,Cell,Root object (Image),Polygon,371.95,456.7,2.9438,16.78,14.93
CBPM03Lc_Sec04_CaMKIIa_merged.tif,3a45ae08-6eb7-4472-8edf-175b89e58225,Annotation,Cell26,Cell,Root object (Image),Polygon,341.55,459.88,2.765,28.43,19.66
